Histórico;Solicitante;Órgáo;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgáos;Origem;Destino;Nome;Cargo/Função;Órgáo
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:15:00;PT-MGS - PT-MGS;0039-2020;DTA;16/07/2020;Secretaria-Geral;BELO HORIZONTE;UBERLANDIA;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PT-MGS - PT-MGS;0040-2020;DTA;16/07/2020;Secretaria-Geral;UBERLANDIA;JOAO PINHEIRO;André Valadares da Cruz;Cinegrafista;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PT-MGS - PT-MGS;0040-2020;DTA;16/07/2020;Secretaria-Geral;UBERLANDIA;JOAO PINHEIRO;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PT-MGS - PT-MGS;0040-2020;DTA;16/07/2020;Secretaria-Geral;UBERLANDIA;JOAO PINHEIRO;Carlos Eduardo Amaral Pereira da Silva;Secretário de Estado;Secretaria de Estado de Saúde
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PT-MGS - PT-MGS;0040-2020;DTA;16/07/2020;Secretaria-Geral;UBERLANDIA;JOAO PINHEIRO;Fernando Junqueira Ferraz;Superintendente de Imprensa;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PT-MGS - PT-MGS;0040-2020;DTA;16/07/2020;Secretaria-Geral;UBERLANDIA;JOAO PINHEIRO;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PT-MGS - PT-MGS;0040-2020;DTA;16/07/2020;Secretaria-Geral;UBERLANDIA;JOAO PINHEIRO;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PT-MGS - PT-MGS;0041-2020;DTA;16/07/2020;Secretaria-Geral;JOAO PINHEIRO;GOIANÁ - MG;André Valadares da Cruz;Cinegrafista;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PT-MGS - PT-MGS;0041-2020;DTA;16/07/2020;Secretaria-Geral;JOAO PINHEIRO;GOIANÁ - MG;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PT-MGS - PT-MGS;0041-2020;DTA;16/07/2020;Secretaria-Geral;JOAO PINHEIRO;GOIANÁ - MG;Carlos Eduardo Amaral Pereira da Silva;Secretário de Estado;Secretaria de Estado de Saúde
