Histórico;Solicitante;Órgão;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgãos;Origem;Destino;Nome;Cargo/Função;Órgão
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva de Belo Horizonte para Poços de Caldas/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:54:00;PP-LCE - PÉGASUS 24;0033-2025;DTA;12/02/2025 00:00;Secretaria-Geral;POCOS DE CALDAS;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Araxá/MG, Poços de Caldas/MG e Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:40:00;PP-LCE - PÉGASUS 24;0143-2025;DTA;29/09/2025;Secretaria-Geral;POÇOS DE CALDAS;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Porto Alegre/RS;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:36:00;PP-LCE - PEGASUS 100;0151-2025;DTA;04/10/2025;Secretaria-Geral;PORTO ALEGRE;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0039-2025;EsAF;11/07/2025;Secretaria-Geral;SAO JOAO DA BOA VISTA;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de São Paulo/SP.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:18:00;PP-LCE - PÉGASUS 24;0029-2025;DTA;10/02/2025 00:00;Secretaria-Geral;SAO PAULO;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Passos/MG, Ribeirão Preto/SP e São Paulo/SP.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:12:00;PP-LCE - PÉGASUS 24;0043-2025;DTA;22/02/2025 00:00;Secretaria-Geral;SAO PAULO;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas Gerais e Comitiva de São Paulo/SP (Guarulhos) para Belo Horizonte.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:06:00;PP-LCE - PEGASUS 100;0155-2025;DTA;25/10/2025;Secretaria-Geral;SAO PAULO;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG,  Uberlândia/MG,  Brasília/DF e Diamantina/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:12:00;PP-LCE - PÉGASUS 24;0069-2025;DTA;07/04/2025;Secretaria-Geral;SAO PAULO;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Itu/SP (via São Roque/SP).;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:12:00;PP-LCE - PÉGASUS 24;0126-2025;DTA;13/09/2025;Secretaria-Geral;SÃO ROQUE;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas e comitiva até a cidade de Conceição do Mato Dentro/ MG;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:27:00;PR-DTG - N8;0064-2025;DTA;03/07/2025;Secretaria-Geral;SERRO;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Sete Lagoas/MG para Belo Horizonte.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:36:00;PP-LCE - PÉGASUS 90;0130-2025;DTA;15/08/2025;Secretaria-Geral;SETE LAGOAS;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Uberlândia/MG;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:06:00;PP-LCE - PEGASUS 100;0153-2025;DTA;06/10/2025;Secretaria-Geral;UBERLANDIA;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:48:00;PT-MGS - PT-MGS;0007-2025;DTA;19/05/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Araxá/MG, Poços de Caldas/MG e Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:39:00;PP-LCE - PÉGASUS 24;0144-2025;DTA;29/09/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF e Diamantina/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:00:00;PP-LCE - PÉGASUS 24;0070-2025;DTA;08/04/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Governador de Minas e comitiva até a cidade de Campinas/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:12:00;PT-MGS - PT-MGS;0031-2025;DTA;03/07/2025;Secretaria-Geral;BELO HORIZONTE;CAMPINAS;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
